Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"BiocMAP: a Bioconductor-friendly, GPU-accelerated pipeline for bisulfite-sequencing data","BiocMAP is a Bioconductor-friendly, GPU-accelerated pipeline for bisulfite sequencing data, making it computationally feasible for more researchers and enabling reproducible analysis across various computing environments.","N. Eagles, R. Wilton, A. Jaffe, L. Collado-Torres",2022,1,"Background: Bisulfite sequencing is a powerful tool for profiling genomic methylation, an epigenetic modification critical in the understanding of cancer, psychiatric disorders, and many other conditions. Raw data generated by whole genome bisulfite sequencing (WGBS) requires several computational steps before it is ready for statistical analysis, and particular care is required to process data in a timely and memory-efficient manner. Alignment to a reference genome is one of the most computationally demanding steps in a WGBS workflow, taking several hours or even days with commonly used WGBS-specific alignment software. This naturally motivates the creation of computational workflows that can utilize GPU-based alignment software to greatly speed up the bottleneck step. In addition, WGBS produces raw data that is large and often unwieldy; a lack of memory-efficient representation of data by existing pipelines renders WGBS impractical or impossible to many researchers.

Results: We present BiocMAP, a Bioconductor-friendly methylation analysis pipeline consisting of two modules, to address the above concerns. The first module performs computationally-intensive read alignment using Arioc, a GPU-accelerated short-read aligner. Since GPUs are not always available on the same computing environments where traditional CPU-based analyses are convenient, the second module may be run in a GPU-free environment. This module extracts and merges DNA methylation proportions-the fractions of methylated cytosines across all cells in a sample at a given genomic site. Bioconductor-based output objects in R utilize an on-disk data representation to drastically reduce required main memory and make WGBS projects computationally feasible to more researchers.

Conclusions: BiocMAP is implemented using Nextflow and available at http://research.libd.org/BiocMAP/ . To enable reproducible analysis across a variety of typical computing environments, BiocMAP can be containerized with Docker or Singularity, and executed locally or with the SLURM or SGE scheduling engines. By providing Bioconductor objects, BiocMAP's output can be integrated with powerful analytical open source software for analyzing methylation data.

© 2023. BioMed Central Ltd., part of Springer Nature.","other","BMC Bioinformatics","1","10.1186/s12859-023-05461-3","https://consensus.app/papers/biocmap-a-bioconductorfriendly-gpuaccelerated-pipeline-eagles-wilton/c7b49804a129504ebed8947fc43b042a/"
"Statistical method evaluation for differentially methylated CpGs in base resolution next-generation DNA sequencing data","The beta-binomial model is the preferred method for detecting differentially methylated CpGs in DNA sequencing data, providing a good balance between sensitivity and specificity.","Yun Zhang, S. Baheti, Zhifu Sun",2016,33,"High-throughput bisulfite methylation sequencing such as reduced representation bisulfite sequencing (RRBS), Agilent SureSelect Human Methyl-Seq (Methyl-seq) or whole-genome bisulfite sequencing is commonly used for base resolution methylome research. These data are represented either by the ratio of methylated cytosine versus total coverage at a CpG site or numbers of methylated and unmethylated cytosines. Multiple statistical methods can be used to detect differentially methylated CpGs (DMCs) between conditions, and these methods are often the base for the next step of differentially methylated region identification. The ratio data have a flexibility of fitting to many linear models, but the raw count data take consideration of coverage information. There is an array of options in each datatype for DMC detection; however, it is not clear which is an optimal statistical method. In this study, we systematically evaluated four statistic methods on methylation ratio data and four methods on count-based data and compared their performances with regard to type I error control, sensitivity and specificity of DMC detection and computational resource demands using real RRBS data along with simulation. Our results show that the ratio-based tests are generally more conservative (less sensitive) than the count-based tests. However, some count-based methods have high false-positive rates and should be avoided. The beta-binomial model gives a good balance between sensitivity and specificity and is preferred method. Selection of methods in different settings, signal versus noise and sample size estimation are also discussed.","theoretical, modeling, or simulation study","Briefings in Bioinformatics","1","10.1093/bib/bbw133","https://consensus.app/papers/statistical-method-evaluation-for-differentially-zhang-baheti/6aaadab8be185a59a5edf232f6c80817/"
"Anchor-based bisulfite sequencing determines genome-wide DNA methylation","Anchor-Based Bisulfite Sequencing (ABBS) accurately determines genome-wide DNA methylation with up to 10 times fewer sequencing reads than Whole Genome Bisulfite Sequencing, making it a cost-effective and simple method.","Nathaniel Chapin, Joseph Fernandez, Jason C. Poole, Benjamin Delatte",2022,12,"Whole Genome Bisulfite Sequencing (WGBS) is the current standard for DNA methylation profiling. However, this approach is costly as it requires sequencing coverage over the entire genome. Here we introduce Anchor-Based Bisulfite Sequencing (ABBS). ABBS captures accurate DNA methylation information in Escherichia coli and mammals, while requiring up to 10 times fewer sequencing reads than WGBS. ABBS interrogates the entire genome and is not restricted to the CpG islands assayed by methods like Reduced Representation Bisulfite Sequencing (RRBS). The ABBS protocol is simple and can be performed in a single day.

© 2022. The Author(s).","other","Communications Biology","1","10.1038/s42003-022-03543-1","https://consensus.app/papers/anchorbased-bisulfite-sequencing-determines-genomewide-chapin-fernandez/2b265b15f1e150f08d95a1efef6bbefc/"
"Accelerating the alignment processing speed of the comprehensive end-to-end whole-genome bisulfite sequencing pipeline, wg-blimp","The gemBS aligner in the wg-blimp pipeline significantly accelerates whole-genome bisulfite sequencing data processing speed without compromising read accuracy, but requires up to 48 GB of RAM.","Jake D Lehle, J. McCarrey",2023,1,"Analyzing whole-genome bisulfite and related sequencing datasets is a time-intensive process due to the complexity and size of the input raw sequencing files and lengthy read alignment step requiring correction for conversion of all unmethylated Cs to Ts genome-wide. The objective of this study was to modify the read alignment algorithm associated with the whole-genome bisulfite sequencing methylation analysis pipeline (wg-blimp) to shorten the time required to complete this phase while retaining overall read alignment accuracy. Here, we report an update to the recently published pipeline wg-blimp achieved by replacing the use of the bwa-meth aligner with the faster gemBS aligner. This improvement to the wg-blimp pipeline has led to a more than ×7 acceleration in the processing speed of samples when scaled to larger publicly available FASTQ datasets containing 80-160 million reads while maintaining nearly identical accuracy of properly mapped reads when compared with data from the previous pipeline. The modifications to the wg-blimp pipeline reported here merge the speed and accuracy of the gemBS aligner with the comprehensive analysis and data visualization assets of the wg-blimp pipeline to provide a significantly accelerated workflow that can produce high-quality data much more rapidly without compromising read accuracy at the expense of increasing RAM requirements up to 48 GB.

© The Author(s) 2023. Published by Oxford University Press.","other","Biology Methods & Protocols","1","10.1093/biomethods/bpad012","https://consensus.app/papers/accelerating-the-alignment-processing-speed-of-the-lehle-mccarrey/42b652c8756053f7923c5f1fb19758d2/"
"metilene: fast and sensitive calling of differentially methylated regions from bisulfite sequencing data","Metilene is a fast and sensitive program for identifying differentially methylated regions in whole-genome and targeted data, aiding in studies of epigenetic modifications in differentiation, tumorigenesis, and systems biology.","Frank Jühling, H. Kretzmer, S. Bernhart, C. Otto, P. Stadler, S. Hoffmann",2016,423,"The detection of differentially methylated regions (DMRs) is a necessary prerequisite for characterizing different epigenetic states. We present a novel program, metilene, to identify DMRs within whole-genome and targeted data with unrivaled specificity and sensitivity. A binary segmentation algorithm combined with a two-dimensional statistical test allows the detection of DMRs in large methylation experiments with multiple groups of samples in minutes rather than days using off-the-shelf hardware. metilene outperforms other state-of-the-art tools for low coverage data and can estimate missing data. Hence, metilene is a versatile tool to study the effect of epigenetic modifications in differentiation/development, tumorigenesis, and systems biology on a global, genome-wide level. Whether in the framework of international consortia with dozens of samples per group, or even without biological replicates, it produces highly significant and reliable results.

© 2016 Jühling et al.; Published by Cold Spring Harbor Laboratory Press.","other","Genome Research","1","10.1101/gr.196394.115","https://consensus.app/papers/metilene-fast-and-sensitive-calling-of-differentially-jhling-kretzmer/de8d9e65c5125a81b56e5e2f9af156e1/"
"gemBS: high throughput processing for DNA methylation data from bisulfite sequencing","GemBS is a fast, high-throughput bioinformatics pipeline for large scale bisulfite sequencing analysis, providing genotype information and methylation estimates for all genomic cytosines.","A. Merkel, Marcos Fernández-Callejo, E. Casals, Santiago Marco-Sola, Ronald P. Schuyler, I. Gut, S. Heath",2018,51,"Motivation: DNA methylation is essential for normal embryogenesis and development in mammals and can be captured at single base pair resolution by whole genome bisulfite sequencing (WGBS). Current available analysis tools are becoming rapidly outdated as they lack sensible functionality and efficiency to handle large amounts of data now commonly created.

Results: We developed gemBS, a fast high-throughput bioinformatics pipeline specifically designed for large scale BS-Seq analysis that combines a high performance BS-mapper (GEM3) and a variant caller specifically for BS-Seq data (BScall). gemBS provides genotype information and methylation estimates for all genomic cytosines in different contexts (CpG and non-CpG) and a set of quality reports for comprehensive and reproducible analysis. gemBS is highly modular and can be easily automated, while producing robust and accurate results.

Availability and implementation: gemBS is released under the GNU GPLv3+ license. Source code and documentation are freely available from www.statgen.cat/gemBS.

Supplementary information: Supplementary data are available at Bioinformatics online.

© The Author(s) 2018. Published by Oxford University Press. All rights reserved. For permissions, please e-mail: journals.permissions@oup.com.","other","Bioinformatics","","10.1093/bioinformatics/bty690","https://consensus.app/papers/gembs-high-throughput-processing-for-dna-methylation-data-merkel-fernndez-callejo/91f3f01c943750bda7577b307c4c0217/"
"Assessment of bisulfite sequencing alignment tools for whole genome analysis in plants.","","Qiufei Wu, Mengdi Yang, Yaodong Yang, Amjad Iqbal, Lixia Zhou",2025,2,"","","International journal of biological macromolecules","1","10.1016/j.ijbiomac.2025.140940","https://consensus.app/papers/assessment-of-bisulfite-sequencing-alignment-tools-for-wu-yang/132fc9776c3c551a94c2dbe18e46c0aa/"
"Machine Learning-Based Genome-Wide Salivary DNA Methylation Analysis for Identification of Noninvasive Biomarkers in Oral Cancer Diagnosis","Machine learning-based genome-wide salivary DNA methylation analysis can effectively detect oral squamous cell carcinoma and potentially aid in disease screening and monitoring.","J. Adeoye, Chi Ching Joan Wan, Li-Wu Zheng, P. Thomson, Siu-Wai Choi, Yu-xiong Su",2022,29,"This study aims to examine the feasibility of ML-assisted salivary-liquid-biopsy platforms using genome-wide methylation analysis at the base-pair and regional resolution for delineating oral squamous cell carcinoma (OSCC) and oral potentially malignant disorders (OPMDs). A nested cohort of patients with OSCC and OPMDs was randomly selected from among patients with oral mucosal diseases. Saliva samples were collected, and DNA extracted from cell pellets was processed for reduced-representation bisulfite sequencing. Reads with a minimum of 10× coverage were used to identify differentially methylated CpG sites (DMCs) and 100 bp regions (DMRs). The performance of eight ML models and three feature-selection methods (ANOVA, MRMR, and LASSO) were then compared to determine the optimal biomarker models based on DMCs and DMRs. A total of 1745 DMCs and 105 DMRs were identified for detecting OSCC. The proportion of hypomethylated and hypermethylated DMCs was similar (51% vs. 49%), while most DMRs were hypermethylated (62.9%). Furthermore, more DMRs than DMCs were annotated to promoter regions (36% vs. 16%) and more DMCs than DMRs were annotated to intergenic regions (50% vs. 36%). Of all the ML models compared, the linear SVM model based on 11 optimal DMRs selected by LASSO had a perfect AUC, recall, specificity, and calibration (1.00) for OSCC detection. Overall, genome-wide DNA methylation techniques can be applied directly to saliva samples for biomarker discovery and ML-based platforms may be useful in stratifying OSCC during disease screening and monitoring.","theoretical, modeling, or simulation study","Cancers","1","10.3390/cancers14194935","https://consensus.app/papers/machine-learningbased-genomewide-salivary-dna-adeoye-wan/e913ef5cabd8515a9530e74125519a09/"
"Comparison of enzymatic-and bisulfite conversion to map the plasma cell-free methylome in cancer","EM-Seq is a suitable method for assessing plasma cell-free methylome in cancer settings, with higher performance in key quality metrics and avoiding bisulfite-associated DNA degradation.","Nicole J. Lambert, A. Robertson, R. Srivas, N. Peterman, J. Close, T. Wilson, P. George, H. Wood, B. Wong, A. Tezcan, H. Tezcan",2019,3,"Abstract Background Aberrant methylation is pervasive in cancer and a promising source of diagnostic and predictive biomarkers. Bisulfite conversion, the current standard for detecting methylated cytosines, requires higher DNA input requirements due to destruction of DNA, and is problematic for the low cell-free DNA (cfDNA) recovery from plasma. Enzymatic methyl-seq (EM-Seq) uses enzymatic conversion in place of bisulfite. Here, we compare quality metrics and cancer-associated signals of whole-genome sequenced libraries with bisulfite conversion (WGBS) and EM-Seq. Methods We collected blood and isolated cfDNA from 7 healthy controls and 15 participants with cancer. Paired libraries from each participant were prepared using WGBS and EM-seq, were sequenced to a median depth of 1.7x, and processed using a custom bioinformatics pipeline. Results The quality of data produced by both methods was largely comparable, including highly correlated methylation levels across CpG islands (average Pearson R = 0.97). However, EM-seq performed better on a number of technical metrics including: higher conversion efficiency, increased alignment quality, and coverage. For library pairs where CNAs were detectable (n = 7), the assessed tumor fractions were similar between the two methods, with 6 out of 7 having estimates within 1.15 fold. WGBS libraries showed evidence of DNA damage, including consistently shorter fragments (7.9 ± 2.1 bp shorter mean length in WGBS relative to paired EM-Seq) and the requirement of more amplification cycles (12 vs 8). Like standard whole genome sequencing, control EM-seq libraries had less variability in genome-wide coverage distributions and preserved the canonical cfDNA fragment length distribution. Conclusions Our results show that both approaches produce concordant estimates of methylation levels throughout the genome. However, EM-seq demonstrates a number of advantages, including higher performance in key quality metrics. We conclude that EM-Seq is a suitable method for assessing plasma cell-free methylome in a cancer setting and avoiding bisulfite-associated DNA degradation. Legal entity responsible for the study Lexent Bio Inc. Funding Lexent Bio. Disclosure N. Lambert: Full/Part-time employment: Lexent Bio Inc. A. Robertson: Full/Part-time employment: Lexent Bio Inc. R. Srivas: Full/Part-time employment: Lexent Bio Inc. N. Peterman: Full/Part-time employment: Lexent Bio Inc. J. Close: Full/Part-time employment: Lexent Bio Inc. T. Wilson: Full/Part-time employment: Lexent Bio Inc. P. George: Full/Part-time employment: Lexent Bio Inc. H. Wood: Full/Part-time employment: Lexent Bio Inc. B. Wong: Full/Part-time employment: Lexent Bio Inc. A. Tezcan: Full/Part-time employment: Lexent Bio Inc. H. Tezcan: Full/Part-time employment: Lexent Bio Inc.","cross-sectional study","Annals of Oncology","1","10.1093/annonc/mdz238.045","https://consensus.app/papers/comparison-of-enzymaticand-bisulfite-conversion-to-map-lambert-robertson/9f14ddaf084c5bcfbd16bf7c8480b14a/"
"Detect differentially methylated regions using non-homogeneous hidden Markov model for bisulfite sequencing data.","BSDMR is a novel Bayesian method for detecting differentially methylated regions in bisulfite sequencing data, with better spatial correlation and smaller false discovery rates than existing methods.","Yingyu Chen, C. Kwok, Hangjin Jiang, Xiaodan Fan",2020,3,"","","Methods","1","10.1016/j.ymeth.2020.09.009","https://consensus.app/papers/detect-differentially-methylated-regions-using-chen-kwok/7dad40586fec5ae1a8510d62a2762829/"
"Data quality of whole genome bisulfite sequencing on Illumina platforms","The HD.3.4.0/RTA 2.7.7 software upgrade for the HiSeq X system improves whole genome bisulfite sequencing data quality and yield, enabling cost-effective and high-quality DNA methylation studies.","A. Raine, U. Liljedahl, J. Nordlund",2017,20,"The powerful HiSeq X sequencers with their patterned flowcell technology and fast turnaround times are instrumental for many large-scale genomic and epigenomic studies. However, assessment of DNA methylation by sodium bisulfite treatment results in sequencing libraries of low diversity, which may impact data quality and yield. In this report we assess the quality of WGBS data generated on the HiSeq X system in comparison with data generated on the HiSeq 2500 system and the newly released NovaSeq system. We report a systematic issue with low basecall quality scores assigned to guanines in the second read of WGBS when using certain Real Time Analysis (RTA) software versions on the HiSeq X sequencer, reminiscent of an issue that was previously reported with certain HiSeq 2500 software versions. However, with the HD.3.4.0 /RTA 2.7.7 software upgrade for the HiSeq X system, we observed an overall improved quality and yield of the WGBS data generated, which in turn empowers cost-effective and high quality DNA methylation studies.","","PLoS ONE","1","10.1371/journal.pone.0195972","https://consensus.app/papers/data-quality-of-whole-genome-bisulfite-sequencing-on-raine-liljedahl/a927ca56974a5a439eb49af9c0712eb6/"
"A (fire)cloud-based DNA methylation data preprocessing and quality control platform","This paper presents a cloud-based DNA methylation data preprocessing and quality control platform, enabling reproducibility, scalability, and integration of user-provided and public data, with potential applications to other genomic data types.","Divy Kangeyan, Andrew J. Dunford, Sowmya Iyer, Chip Stewart, M. Hanna, G. Getz, Martin J. Aryee",2019,8,"Background: Bisulfite sequencing allows base-pair resolution profiling of DNA methylation and has recently been adapted for use in single-cells. Analyzing these data, including making comparisons with existing data, remains challenging due to the scale of the data and differences in preprocessing methods between published datasets.

Results: We present a set of preprocessing pipelines for bisulfite sequencing DNA methylation data that include a new R/Bioconductor package, scmeth, for a series of efficient QC analyses of large datasets. The pipelines go from raw data to CpG-level methylation estimates and can be run, with identical results, either on a single computer, in an HPC cluster or on Google Cloud Compute resources. These pipelines are designed to allow users to 1) ensure reproducibility of analyses, 2) achieve scalability to large whole genome datasets with 100 GB+ of raw data per sample and to single-cell datasets with thousands of cells, 3) enable integration and comparison between user-provided data and publicly available data, as all samples can be processed through the same pipeline, and 4) access to best-practice analysis pipelines. Pipelines are provided for whole genome bisulfite sequencing (WGBS), reduced representation bisulfite sequencing (RRBS) and hybrid selection (capture) bisulfite sequencing (HSBS).

Conclusions: The workflows produce data quality metrics, visualization tracks, and aggregated output for further downstream analysis. Optional use of cloud computing resources facilitates analysis of large datasets, and integration with existing methylome profiles. The workflow design principles are applicable to other genomic data types.","other","BMC Bioinformatics","1","10.1186/s12859-019-2750-4","https://consensus.app/papers/a-firecloudbased-dna-methylation-data-preprocessing-and-kangeyan-dunford/b49febed47b250599c2a58744dfade5d/"
"Genome-wide CpG density and DNA methylation analysis method (MeDIP, RRBS, and WGBS) comparisons","CpG density is a critical variable in DNA methylation analysis, with different molecular techniques focusing on distinct genomic regions.","Daniel Beck, Millissia Ben Maamar, M. Skinner",2021,106,"Genome-wide DNA methylation analysis is one of the most common epigenetic processes analysed for genome characterization and differential DNA methylation assessment. Previous genome-wide analysis has suggested an important variable in DNA methylation methods involves CpG density. The current study was designed to investigate the CpG density in a variety of different species genomes and correlate this to various DNA methylation analysis data sets. The majority of all genomes had >90% of the genome in the low density 1-3 CpG/100 bp category, while <10% of the genome was in the higher density >5 CpG/100 bp category. Similar observations with human, rat, bird, and fish genomes were observed. The methylated DNA immunoprecipitation (MeDIP) procedure uses the anti-5-methylcytosine antibody immunoprecipitation followed by next-generation sequencing (MeDIP-Seq). The MeDIP procedure is biased to lower CpG density of <5 CpG/100 bp, which corresponds to >95% of the genome. The reduced representation bisulphite (RRBS) protocol generally identifies DMRs in higher CpG density regions of ≥3 CpG/100 bp which corresponds to approximately 20% of the genome. The whole-genome bisulphite (WGBS) analyses resulted in higher CpG densities, often greater than 10 CpG/100bp. WGBS generally identifies ≥2 CpG/100bp, which corresponds to approximately 50% of the genome. Limitations and potential optimization approaches for each method are discussed. None of the procedures can provide complete genome-wide assessment of the genome, but MeDIP-Seq provides coverage of the highest percentage. Observations demonstrate that CpG density is a critical variable in DNA methylation analysis, and different molecular techniques focus on distinct genomic regions.","other","Epigenetics","1","10.1080/15592294.2021.1924970","https://consensus.app/papers/genomewide-cpg-density-and-dna-methylation-analysis-beck-maamar/f94674a6dfd75ec98db219d85ec5ee98/"
"Efficient and accurate determination of genome-wide DNA methylation patterns in Arabidopsis thaliana with enzymatic methyl sequencing","Enzymatic methyl-seq (EM-seq) is a more accurate and reliable method for detecting DNA methylation in Arabidopsis thaliana than whole-genome bisulfite sequencing, with better consistency and coverage.","S. Feng, Z. Zhong, Ming Wang, S. Jacobsen",2020,88,"Background: 5' methylation of cytosines in DNA molecules is an important epigenetic mark in eukaryotes. Bisulfite sequencing is the gold standard of DNA methylation detection, and whole-genome bisulfite sequencing (WGBS) has been widely used to detect methylation at single-nucleotide resolution on a genome-wide scale. However, sodium bisulfite is known to severely degrade DNA, which, in combination with biases introduced during PCR amplification, leads to unbalanced base representation in the final sequencing libraries. Enzymatic conversion of unmethylated cytosines to uracils can achieve the same end product for sequencing as does bisulfite treatment and does not affect the integrity of the DNA; enzymatic methylation sequencing may, thus, provide advantages over bisulfite sequencing.

Results: Using an enzymatic methyl-seq (EM-seq) technique to selectively deaminate unmethylated cytosines to uracils, we generated and sequenced libraries based on different amounts of Arabidopsis input DNA and different numbers of PCR cycles, and compared these data to results from traditional whole-genome bisulfite sequencing. We found that EM-seq libraries were more consistent between replicates and had higher mapping and lower duplication rates, lower background noise, higher average coverage, and higher coverage of total cytosines. Differential methylation region (DMR) analysis showed that WGBS tended to over-estimate methylation levels especially in CHG and CHH contexts, whereas EM-seq detected higher CG methylation levels in certain highly methylated areas. These phenomena can be mostly explained by a correlation of WGBS methylation estimation with GC content and methylated cytosine density. We used EM-seq to compare methylation between leaves and flowers, and found that CHG methylation level is greatly elevated in flowers, especially in pericentromeric regions.

Conclusion: We suggest that EM-seq is a more accurate and reliable approach than WGBS to detect methylation. Compared to WGBS, the results of EM-seq are less affected by differences in library preparation conditions or by the skewed base composition in the converted DNA. It may therefore be more desirable to use EM-seq in methylation studies.","bench experiment","Epigenetics & Chromatin","1","10.1186/s13072-020-00361-9","https://consensus.app/papers/efficient-and-accurate-determination-of-genomewide-dna-feng-zhong/a311ad2091c250b7a7a8faa3ecb1e01b/"
"DMRcaller: a versatile R/Bioconductor package for detection and visualization of differentially methylated regions in CpG and non-CpG contexts","DMRcaller is a highly efficient R/Bioconductor package for detecting differential DNA methylation in both CpG and non-CpG contexts, providing high sensitivity and specificity for genome-wide analysis within hours.","M. Catoni, Jonathan Tsang, Alessandro Greco, N. Zabet",2018,97,"DNA methylation has been associated with transcriptional repression and detection of differential methylation is important in understanding the underlying causes of differential gene expression. Bisulfite-converted genomic DNA sequencing is the current gold standard in the field for building genome-wide maps at a base pair resolution of DNA methylation. Here we systematically investigate the underlying features of detecting differential DNA methylation in CpG and non-CpG contexts, considering both the case of mammalian systems and plants. In particular, we introduce DMRcaller, a highly efficient R/Bioconductor package, which implements several methods to detect differentially methylated regions (DMRs) between two samples. Most importantly, we show that different algorithms are required to compute DMRs and the most appropriate algorithm in each case depends on the sequence context and levels of methylation. Furthermore, we show that DMRcaller outperforms other available packages and we propose a new method to select the parameters for this tool and for other available tools. DMRcaller is a comprehensive tool for differential methylation analysis which displays high sensitivity and specificity for the detection of DMRs and performs entire genome wide analysis within a few hours.","","Nucleic Acids Research","1","10.1093/nar/gky602","https://consensus.app/papers/dmrcaller-a-versatile-rbioconductor-package-for/33cb5258e8f6599289eb2ff2d7827ba5/"
"Robust molecular subgrouping and reference-free aneuploidy detection in medulloblastoma using low-depth whole genome bisulfite sequencing","Low-pass whole-genome bisulfite sequencing (WGBS) can effectively subgroup medulloblastomas and detect aneuploidies with greater sensitivity than microarray approaches, offering potential for clinical adoption.","Dean Thompson, Jemma Castle, M. Sill, S. Pfister, Simon Bailey, Debbie Hicks, Steven C. Clifford, E. Schwalbe",2025,1,"Medulloblastoma comprises four principal molecular disease groups and their component subgroups, each with distinct molecular and clinical features. Group assignment is currently achieved diagnostically using Illumina DNA methylation microarray. Whole-genome sequencing (WGS) capacity is rapidly expanding in the clinical setting and the development of platform-independent, sequence-based assays of molecular group offers significant potential. Specifically, whole-genome bisulfite sequencing (WGBS) enables assessment of genome-wide methylation status at single-base resolution, however its routine application has been limited by high DNA input requirements, cost, and a lack of pipelines tailored to more rapidly-acquired and cost-effective low-depth (< 10x) sequencing data. We utilised WGBS data for 69 medulloblastomas, comprising 35 in-house low-depth (~ 10x) and 34 publicly available high-depth (~ 30x) samples, alongside cerebellar controls (n = 8), all with matched DNA methylation microarray data. We assessed quality (QC) and imputation approaches using low-pass WGBS data, assessed inter-platform correlation and identified molecular groups and subgroups by directly integrating matched/associated loci from WGBS sample data with the MNP classifier probeset. We further assessed and optimised reference-free aneuploidy detection using low-pass WGBS and assessed concordance with microarray-derived calls. We developed and optimised pipelines for processing, QC, and analysis of low-pass WGBS data, suitable for routine molecular subgrouping and reference-free aneuploidy assessment. We demonstrate that low-pass WGBS data can (i) be integrated into existing array-trained models with high assignment probabilities for both principal molecular groups (97% concordance) and molecular subgroups (94.2% concordance), and (ii) detect clinically relevant focal copy number changes, including SNCAIP, with greater sensitivity than microarray approaches. Low-pass WGBS performs equivalently to array-based methods at comparable cost. Finally, its ascertainment of the full methylome enables elucidation of additional biological complexity and inter-tumoural heterogeneity that has hitherto been inaccessible. These findings provide proof-of-concept for clinical adoption of low-pass WGBS, applied using standard WGS technology.

© 2025. The Author(s).","cross-sectional study","Acta Neuropathologica Communications","1","10.1186/s40478-025-02049-1","https://consensus.app/papers/robust-molecular-subgrouping-and-referencefree-thompson-castle/cbbd94d58c7e5da8850c0b2411706ad1/"
"An integrative approach for efficient analysis of whole genome bisulfite sequencing data","Integrating Bismark, BSMAP, and BS-seeker2 improves detection accuracy and reduces read heterogeneity in whole genome bisulfite sequencing data.","Jong-Hun Lee, Sung-Joon Park, Nakai Kenta",2015,12,"Background: Whole genome bisulfite sequencing (WGBS) is a high-throughput technique for profiling genome-wide DNA methylation at single nucleotide resolution. However, the applications of WGBS are limited by low accuracy resulting from bisulfite-induced damage on DNA fragments. Although many computer programs have been developed for accurate detecting, most of the programs have barely succeeded in improving either quantity or quality of the methylation results. To improve both, we attempted to develop a novel integration of most widely used bisulfite-read mappers: Bismark, BSMAP, and BS-seeker2.

Results: A comprehensive analysis of the three mappers revealed that the mapping results of the mappers were mutually complementary under diverse read conditions. Therefore, we sought to integrate the characteristics of the mappers by scoring them to gain robustness against artifacts. As a result, the integration significantly increased detection accuracy compared with the individual mappers. In addition, the amount of detected cytosine was higher than that by Bismark. Furthermore, the integration successfully reduced the fluctuation of detection accuracy induced by read conditions. We applied the integration to real WGBS samples and succeeded in classifying the samples according to the originated tissues by both CpG and CpH methylation patterns.

Conclusions: In this study, we improved both quality and quantity of methylation results from WGBS data by integrating the mapping results of three bisulfite-read mappers. Also, we succeeded in combining and comparing WGBS samples by reducing the effects of read heterogeneity on methylation detection. This study contributes to DNA methylation researches by improving efficiency of methylation detection from WGBS data and facilitating the comprehensive analysis of public WGBS data.","other","BMC Genomics","1","10.1186/1471-2164-16-s12-s14","https://consensus.app/papers/an-integrative-approach-for-efficient-analysis-of-whole-lee-park/7c8d9f629907517b8778cb4ded08a2a6/"
"Whole-genome bisulfite sequencing with improved accuracy and cost","A new transposase-based library preparation assay for the Illumina HiSeq X platform significantly reduces the cost of whole-genome bisulfite sequencing, making it more feasible for larger numbers of samples and improved accuracy.","Masako Suzuki, W. Liao, Frank Wos, Andrew D. Johnston, Justin DeGrazia, J. Ishii, Toby Bloom, M. Zody, S. Germer, J. Greally",2018,86,"DNA methylation patterns in the genome both reflect and help to mediate transcriptional regulatory processes. The digital nature of DNA methylation, present or absent on each allele, makes this assay capable of quantifying events in subpopulations of cells, whereas genome-wide chromatin studies lack the same quantitative capacity. Testing DNA methylation throughout the genome is possible using whole-genome bisulfite sequencing (WGBS), but the high costs associated with the assay have made it impractical for studies involving more than limited numbers of samples. We have optimized a new transposase-based library preparation assay for the Illumina HiSeq X platform suitable for limited amounts of DNA and providing a major cost reduction for WGBS. By incorporating methylated cytosines during fragment end repair, we reveal an end-repair artifact affecting 1%-2% of reads that we can remove analytically. We show that the use of a high (G + C) content spike-in performs better than PhiX in terms of bisulfite sequencing quality. As expected, the loci with transposase-accessible chromatin are DNA hypomethylated and enriched in flanking regions by post-translational modifications of histones usually associated with positive effects on gene expression. Using these transposase-accessible loci to represent the cis-regulatory loci in the genome, we compared the representation of these loci between WGBS and other genome-wide DNA methylation assays, showing WGBS to outperform substantially all of the alternatives. We conclude that it is now technologically and financially feasible to perform WGBS in larger numbers of samples with greater accuracy than previously possible.

© 2018 Suzuki et al.; Published by Cold Spring Harbor Laboratory Press.","other","Genome Research","1","10.1101/gr.232587.117","https://consensus.app/papers/wholegenome-bisulfite-sequencing-with-improved-accuracy-suzuki-liao/8bfbfea2e6be581ba80ea585241e1517/"
